feature,mean_importance
gender,0.0
Contract,0.0
StreamingTV,0.0
TechSupport,0.0
DeviceProtection,0.0
OnlineBackup,0.0
PaperlessBilling,0.0
OnlineSecurity,0.0
Dependents,0.0
Partner,0.0
SeniorCitizen,0.0
PaymentMethod,0.0
tenure,0.0006631650777421782
MultipleLines,2.503515895142763
PhoneService,63.2442135248074
StreamingMovies,79.69082866620374
InternetService,1297.1642882738736
