feature,shap_importance
InternetService,22.425665526287812
StreamingMovies,4.153507450910797
PhoneService,2.9307381590223804
MultipleLines,0.4655628611448124
tenure,0.002396222730893371
gender,0.0
TechSupport,0.0
PaperlessBilling,0.0
Contract,0.0
StreamingTV,0.0
OnlineSecurity,0.0
DeviceProtection,0.0
OnlineBackup,0.0
SeniorCitizen,0.0
Dependents,0.0
Partner,0.0
PaymentMethod,0.0
